"","x"
"1",80.9000015
"2",83.4000015
"3",47.7000008
"4",47.7999992
"5",30.7000008
"6",12.1999998
"7",9.60000038
"8",10.1999998
"9",32.4000015
"10",47.5999985
"11",54
"12",62.9000015
"13",85.9000015
"14",61.2000008
"15",45.0999985
"16",36.4000015
"17",20.8999996
"18",11.3999996
"19",37.7999992
"20",69.8000031
"21",106.099998
"22",100.800003
"23",81.5999985
"24",66.5
"25",34.7999992
"26",30.6000004
"27",7
"28",19.7999992
"29",92.5
"30",154.399994
"31",125.900002
"32",84.8000031
"33",68.0999985
"34",38.5
"35",22.7999992
"36",10.1999998
"37",24.1000004
"38",82.9000015
"39",132
"40",130.899994
"41",118.099998
"42",89.9000015
"43",66.5999985
"44",60
"45",46.9000015
"46",41
"47",21.2999992
"48",16
"49",6.4000001
"50",4.0999999
"51",6.80000019
"52",14.5
"53",34
"54",45
"55",43.0999985
"56",47.5
"57",42.2000008
"58",28.1000004
"59",10.1000004
"60",8.10000038
"61",2.5
"62",0
"63",1.39999998
"64",5
"65",12.1999998
"66",13.8999996
"67",35.4000015
"68",45.7999992
"69",41.0999985
"70",30.1000004
"71",23.8999996
"72",15.6000004
"73",6.5999999
"74",4
"75",1.79999995
"76",8.5
"77",16.6000004
"78",36.2999992
"79",49.5999985
"80",64.1999969
"81",67
"82",70.9000015
"83",47.7999992
"84",27.5
"85",8.5
"86",13.1999998
"87",56.9000015
"88",121.5
"89",138.300003
"90",103.199997
"91",85.6999969
"92",64.5999985
"93",36.7000008
"94",24.2000008
"95",10.6999998
"96",15
"97",40.0999985
"98",61.5
"99",98.5
"100",124.699997
"101",96.3000031
"102",66.5999985
"103",64.5
"104",54.0999985
"105",39
"106",20.6000004
"107",6.69999981
"108",4.30000019
"109",22.7000008
"110",54.7999992
"111",93.8000031
"112",95.8000031
"113",77.1999969
"114",59.0999985
"115",44
"116",47
"117",30.5
"118",16.2999992
"119",7.30000019
"120",37.5999985
"121",74
"122",139
"123",111.199997
"124",101.599998
"125",66.1999969
"126",44.7000008
"127",17
"128",11.3000002
"129",12.3999996
"130",3.4000001
"131",6
"132",32.2999992
"133",54.2999992
"134",59.7000008
"135",63.7000008
"136",63.5
"137",52.2000008
"138",25.3999996
"139",13.1000004
"140",6.80000019
"141",6.30000019
"142",7.0999999
"143",35.5999985
"144",73
"145",85.0999985
"146",78
"147",64
"148",41.7999992
"149",26.2000008
"150",26.7000008
"151",12.1000004
"152",9.5
"153",2.70000005
"154",5
"155",24.3999996
"156",42
"157",63.5
"158",53.7999992
"159",62
"160",48.5
"161",43.9000015
"162",18.6000004
"163",5.69999981
"164",3.5999999
"165",1.39999998
"166",9.60000038
"167",47.4000015
"168",57.0999985
"169",103.900002
"170",80.5999985
"171",63.5999985
"172",37.5999985
"173",26.1000004
"174",14.1999998
"175",5.80000019
"176",16.7000008
"177",44.2999992
"178",63.9000015
"179",69
"180",77.8000031
"181",64.9000015
"182",35.7000008
"183",21.2000008
"184",11.1000004
"185",5.69999981
"186",8.69999981
"187",36.0999985
"188",79.6999969
"189",114.400002
"190",109.599998
"191",88.8000031
"192",67.8000031
"193",47.5
"194",30.6000004
"195",16.2999992
"196",9.60000038
"197",33.2000008
"198",92.5999985
"199",151.600006
"200",136.300003
"201",134.699997
"202",83.9000015
"203",69.4000015
"204",31.5
"205",13.8999996
"206",4.4000001
"207",38
"208",141.699997
"209",190.199997
"210",184.800003
"211",159
"212",112.300003
"213",53.9000015
"214",37.5
"215",27.8999996
"216",10.1999998
"217",15.1000004
"218",47
"219",93.8000031
"220",105.900002
"221",105.5
"222",104.5
"223",66.5999985
"224",68.9000015
"225",38
"226",34.5
"227",15.5
"228",12.6000004
"229",27.5
"230",92.5
"231",155.399994
"232",154.600006
"233",140.399994
"234",115.900002
"235",66.5999985
"236",45.9000015
"237",17.8999996
"238",13.3999996
"239",29.3999996
"240",100.199997
"241",157.600006
"242",142.600006
"243",145.699997
"244",94.3000031
"245",54.5999985
"246",29.8999996
"247",17.5
"248",8.60000038
"249",21.5
"250",64.3000031
"251",93.1999969
"252",119.599998
"253",111
"254",104
"255",63.9000015
"256",40.4000015
"257",29.7999992
"258",15.1999998
"259",7.5
"260",2.9000001
